Place_Name,Google_Maps_Link
Taman Pintar Yogyakarta,"https://www.google.com/maps/place/Taman+Pintar+Yogyakarta/@-7.8006715,110.3676551,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a57860f2fb9af:0xa9f6007074b62dd8!8m2!3d-7.8006715!4d110.3676551!16s%2Fm%2F0y6kq2z?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Keraton Yogyakarta,"https://www.google.com/maps/search/Keraton+Yogyakarta/@-7.8091125,110.3625054,15z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Sindu Kusuma Edupark (SKE),"https://www.google.com/maps/place/SKE+City+Park/@-7.7679241,110.3547164,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a584281200f8b:0xeed0884f4b2272a8!8m2!3d-7.7679241!4d110.3547164!16s%2Fg%2F11b6vc54pq?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Museum Benteng Vredeburg Yogyakarta,"https://www.google.com/maps/place/Vredeburg+Fort+Museum/@-7.800293,110.3661642,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a5788c0b3eecf:0xb9611ce0232a9ff8!8m2!3d-7.800293!4d110.3661642!16zL20vMGJyZmY4?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
De Mata Museum Jogja,"https://www.google.com/maps/place/De+Mata+Trick+Eye+Museum/@-7.8163156,110.3871442,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a570cd99720e1:0x93c125605f67d153!8m2!3d-7.8163156!4d110.3871442!16s%2Fg%2F11b6gjh4bl?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Kampung Wisata Taman Sari,"https://www.google.com/maps/place/Taman+Sari/@-7.8099788,110.3589907,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a5793d0c2cf2b:0x276a21f8a01cbe13!8m2!3d-7.8099788!4d110.3589907!16s%2Fm%2F0b6gg2m?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Situs Warungboto,"https://www.google.com/maps/place/Warungboto+Historical+Site/@-7.8101941,110.3932803,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a576dd45f6243:0x47c4825dd428cf01!8m2!3d-7.8101941!4d110.3932803!16s%2Fg%2F11h5rqc5md?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Nol Kilometer Jl.Malioboro,"https://www.google.com/maps/search/Nol+Kilometer+Jl.Malioboro/@-7.8020765,110.3649183,17z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Gembira Loka Zoo,"https://www.google.com/maps/search/Gembira+Loka+Zoo/@-7.8059922,110.3963155,17z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Sumur Gumuling,"https://www.google.com/maps/place/Sumur+Gumuling+-+the+underground+mosque+in+the+Water+Castle/@-7.8088303,110.3592126,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a57250f35a095:0x94238e77dae33aa6!8m2!3d-7.8088303!4d110.3592126!16s%2Fg%2F11t31sjjyz?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Desa Wisata Sungai Code Jogja Kota,"https://www.google.com/maps/place/Desa+Wisata+Sungai+Code+Jogja+Kota/@-7.8229089,110.3756894,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a57a8934200db:0xb78e33e22bb6ee86!8m2!3d-7.8229089!4d110.3756894!16s%2Fg%2F11h2gwpb96?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Alun Alun Selatan Yogyakarta,"https://www.google.com/maps/place/Alun-Alun+Kidul+St,+Patehan,+Kraton,+Yogyakarta+City,+Special+Region+of+Yogyakarta,+Indonesia/@-7.8124827,110.363103,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a57912e3d2fcd:0x59edcb6ee00d38ce!8m2!3d-7.8124827!4d110.363103!16s%2Fg%2F11b6hx0dwj?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Monumen Yogya Kembali,"https://www.google.com/maps/place/Monumen+Yogya+Kembali/@-7.7495904,110.3696068,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a58f99013c989:0x2a96db25b8ff4333!8m2!3d-7.7495904!4d110.3696068!16s%2Fm%2F0gfgg53?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Taman Pelangi Yogyakarta,"https://www.google.com/maps/place/Taman+Pelangi+Jogja/@-7.7503027,110.3694988,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a58f975c66097:0x99331d342ee5862d!8m2!3d-7.7503027!4d110.3694988!16s%2Fg%2F11x7vl1rr?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Kampung Wisata Kadipaten,"https://www.google.com/maps/place/Tourism+Village+Duchy/@-7.8080091,110.3580298,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a578d8533ce31:0x20fed128d47c4cb5!8m2!3d-7.8080091!4d110.3580298!16s%2Fg%2F11b6dp13bq?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Taman Budaya Yogyakarta,"https://www.google.com/maps/search/Taman+Budaya+Yogyakarta/@-7.8000966,110.3675776,17z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Kampung Wisata Sosro Menduran,"https://www.google.com/maps/place/Kampung+Wisata+Sosromenduran/@-7.79219,110.362151,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a5826be29978d:0xe41a56956d58b8c7!8m2!3d-7.79219!4d110.362151!16s%2Fg%2F1pzs29j25?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Monumen Batik Yogyakarta,"https://www.google.com/maps/place/Batik+Monument+Yogyakarta/@-7.8011159,110.3646172,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a5788ccf98665:0x528f314a0e4136d4!8m2!3d-7.8011159!4d110.3646172!16s%2Fg%2F11bbx04r8z?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Tugu Pal Putih Jogja,"https://www.google.com/maps/place/Tugu+Yogyakarta+Monument/@-7.7829218,110.3670757,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a591a4d553bd5:0xc0f964003add568b!8m2!3d-7.7829218!4d110.3670757!16s%2Fg%2F122zk22q?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Tebing Breksi,"https://www.google.com/maps/search/Tebing+Breksi/@-7.7825393,110.5043484,17z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
Candi Donotirto,"https://www.google.com/maps/place/Candi+Donotirto/@-7.7955613,110.3612095,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a58274e35ee89:0x353853e5497dcb7c!8m2!3d-7.7955613!4d110.3612095!16s%2Fg%2F11bx55_5pt?entry=ttu&g_ep=EgoyMDI1MDUyNy4wIKXMDSoASAFQAw%3D%3D"
